               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061011,            0.086389,            0.018924,             0.77299,             0.21481,             0.23666,             0.11494,            0.045066,            0.082192,             0.01025,           0.0033329,           0.0033329,            0.070004
                   1,            0.050402,            0.082049,            0.010457,             0.76441,             0.26069,             0.28424,             0.14545,            0.042634,             0.08014,           0.0086265,           0.0065194,           0.0065194,            0.039857
                   2,            0.048161,            0.081919,           0.0096108,               0.719,             0.29314,             0.31114,             0.15807,            0.041974,            0.079517,           0.0079958,           0.0091401,           0.0091401,           0.0091449
                   3,            0.045685,            0.080985,           0.0089574,              0.7339,             0.31356,             0.33557,             0.17279,             0.04093,            0.077925,           0.0072241,            0.008145,            0.008145,            0.008145
                   4,            0.044484,            0.079603,           0.0083898,             0.74206,             0.32518,             0.34908,             0.18122,            0.040418,            0.077359,           0.0068329,            0.008145,            0.008145,            0.008145
                   5,            0.043136,            0.078175,           0.0079018,             0.76164,             0.32679,             0.35886,             0.18762,            0.039937,            0.076486,           0.0065926,           0.0068906,           0.0068906,           0.0068906
                   6,            0.042216,            0.077309,           0.0075163,             0.78076,             0.32765,             0.37052,             0.19581,            0.039582,            0.075961,            0.006353,              0.0055,              0.0055,              0.0055
                   7,            0.041339,            0.075815,           0.0072055,             0.79161,             0.32842,             0.37511,             0.19875,            0.039313,            0.075564,           0.0061774,           0.0041094,           0.0041094,           0.0041094
                   8,            0.040674,            0.075389,           0.0069062,             0.68819,             0.34749,             0.38029,             0.20194,             0.03911,            0.075237,            0.006061,            0.002855,            0.002855,            0.002855
                   9,            0.040229,            0.074614,           0.0067361,             0.73845,             0.34141,             0.38543,             0.20462,            0.038984,            0.075012,           0.0059756,           0.0018594,           0.0018594,           0.0018594
