               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09236,             0.11225,            0.030279,             0.68195,            0.059585,            0.042535,            0.015011,            0.070542,             0.10467,            0.019396,           0.0033329,           0.0033329,            0.070004
                   1,            0.068754,            0.099148,            0.017309,             0.62012,             0.13761,             0.11401,            0.045583,            0.056629,            0.094037,            0.013265,           0.0066293,           0.0066293,            0.039967
                   2,            0.060022,            0.093291,            0.013908,             0.62067,             0.17696,             0.15724,            0.068087,            0.050696,            0.088508,            0.011245,           0.0097793,           0.0097793,           0.0097841
                   3,            0.054067,            0.089203,            0.012022,             0.61885,             0.21029,             0.19723,            0.087264,            0.047393,            0.085061,           0.0097162,           0.0095095,           0.0095095,           0.0095095
                   4,            0.051053,            0.086409,            0.010916,             0.58357,             0.24358,             0.22187,            0.099591,            0.045736,            0.083177,           0.0090344,           0.0095095,           0.0095095,           0.0095095
                   5,            0.049265,             0.08469,            0.010269,             0.60908,             0.25862,             0.24084,             0.11026,            0.044658,            0.081989,           0.0086216,           0.0091406,           0.0091406,           0.0091406
                   6,            0.048114,            0.083766,           0.0098363,             0.65647,             0.25827,             0.25995,             0.12138,            0.043879,            0.081002,           0.0082433,            0.008682,            0.008682,            0.008682
                   7,             0.04718,            0.082367,           0.0094893,             0.64279,             0.27713,             0.27173,             0.12956,            0.043289,             0.08035,           0.0079719,            0.008145,            0.008145,            0.008145
                   8,             0.04637,            0.082064,           0.0091604,             0.65147,             0.29177,             0.28292,             0.13578,            0.042865,            0.079766,           0.0077469,            0.007543,            0.007543,            0.007543
                   9,            0.045821,            0.081352,            0.008943,               0.673,             0.29059,             0.29171,             0.14203,            0.042492,            0.079318,           0.0075489,           0.0068906,           0.0068906,           0.0068906
                  10,             0.04525,            0.080686,           0.0087356,             0.68679,             0.28845,              0.2981,             0.14642,            0.042214,            0.079018,            0.007382,            0.006204,            0.006204,            0.006204
                  11,            0.044721,            0.080035,           0.0085112,             0.70339,             0.28757,             0.30368,             0.15005,            0.041991,            0.078712,           0.0072557,              0.0055,              0.0055,              0.0055
                  12,            0.044243,            0.079635,           0.0083116,             0.70819,             0.29339,             0.30945,             0.15341,            0.041806,            0.078457,           0.0071442,            0.004796,            0.004796,            0.004796
                  13,            0.043799,            0.078874,           0.0081419,             0.70998,             0.29632,             0.31342,             0.15608,            0.041653,            0.078241,           0.0070669,           0.0041094,           0.0041094,           0.0041094
                  14,            0.043492,            0.078678,           0.0079991,             0.69583,             0.30731,             0.31666,             0.15798,            0.041529,             0.07807,            0.007003,            0.003457,            0.003457,            0.003457
                  15,            0.043149,            0.078146,           0.0078846,             0.70016,             0.30941,             0.31947,             0.15947,            0.041432,             0.07793,            0.006949,            0.002855,            0.002855,            0.002855
                  16,            0.042831,            0.077441,           0.0077694,             0.70787,              0.3076,             0.32201,             0.16073,             0.04135,            0.077811,           0.0069035,            0.002318,            0.002318,            0.002318
                  17,            0.042575,            0.077668,            0.007631,             0.72448,             0.30157,             0.32353,             0.16195,            0.041277,            0.077704,           0.0068655,           0.0018594,           0.0018594,           0.0018594
                  18,             0.04232,            0.077082,           0.0075095,              0.7105,             0.31042,              0.3253,             0.16299,            0.041214,            0.077607,           0.0068325,           0.0014905,           0.0014905,           0.0014905
                  19,            0.042143,            0.076716,           0.0074401,             0.71518,             0.31007,             0.32661,             0.16395,            0.041157,            0.077525,           0.0068045,           0.0012202,           0.0012202,           0.0012202
